# following ideographs were merged, because they share an identical L1 IDS
# ╪ 扌 not merged, for they're belonging to different ideographs
# ⺊ 𠂉 not merged, for they're belonging to different ideographs
# 〢 刂 not merged, for they're belonging to different ideographs
# 〣 川 not merged, for they're belonging to different ideographs
# 㐅 乂. 乂J not merged, for they're belonging to different ideographs
㐌.	㐌T
鏐.	鏐H
鏢.	鏢T
鏬.	鏬H
鐍H	鐍J
鐪.	鐪H
鐻.	鐻H
鑃.	鑃H
鑇.	鑇H
鑢.	鑢H
鑪.	鑪H
鑷H	鑷J
钀.	钀H
閣.	閣H
阠.	阠K
阤.	阤H
陁.	陁H
陫.	陫H
陵H	陵J
陸H	陸J
隙.	隙H
隮.	隮H
隲.	隲J
隸H	隸T
雀.	雀H
雐.	雐T
雡.	雡H
雰.	雰K
雰H	雰T
霏.	霏J
霞.	霞V
非.	非H
靟.	靟H
靠.	靠T
鞏H	鞏T
鞕.	鞕J
鞨.	鞨H
鞬.	鞬J
韭.	韭t
韲.	韲H
頌J	頌K
頑.	頑K
頒J	頒K
頫.	頫J
頳.	頳H
顠.	顠T
顤.	顤K
顪.	顪J
飃H	飃T
飄H	飄T
馚.	馚T
馡.	馡H
馣.	馣T
馤.	馤H
馳.	馳H
駛.	駛J
駞.	駞T
駟.	駟J
駬.	駬J
騈.	騈K
騌.	騌T
騑.	騑H
騔.	騔H
騝.	騝K
騽.	騽H
驃.	驃T
驈H	驈K
驉H	驉K
驘H	驘T
驢.	驢H
马.	马t
# 骬. 骭. not merged, for they're belonging to different ideographs
# 骬J 骭H not merged, for they're belonging to different ideographs
# 骬T 骭T not merged, for they're belonging to different ideographs
骾.	骾V
骾H	骾J
髗H	髗J
髢.	髢H
髿.	髿H
鬃.	鬃T
鬆.	鬆T
鬯T	鬯th
鬳.	鬳H
鬾H	鬾K
魒H	魒T
魖H	魖J
魦.	魦H
魵.	魵T
鮫J	鮫K
鯁.	鯁J
鯊.	鯊H
鯋.	鯋K
鯓.	鯓H
鯡.	鯡H
鯥H	鯥J
鯪H	鯪J
鯮.	鯮T
鯱H	鯱J
鰎.	鰎K
鰬.	鰬H
鰼.	鰼H
鰾.	鰾T
鱊H	鱊J
鱭.	鱭H
鱮.	鱮H	鱮T
鱸.	鱸H
鱼.	鱼t
鴆.	鴆V
鴥.	鴥T
鵅.	鵅J
鵉.	鵉H	鵉T
鶂.	鶂K
鶡.	鶡H
鷈H	鷈K
鷚.	鷚H
鷸H	鷸J
鸁H	鸁T
鸐.	鸐H
鸟.	鸟t
麄H	麄T
麉H	麉T
麡H	麡T
麥H	麥y..
麥T	麥yx.
麦.	麦.d
麺.	麺V
黑.	黑t
黓.	黓H
黕.	黕H
黖.	黖H
黗.	黗T
默.	默H
黚.	黚H
黜.	黜H
黝.	黝H
點.	點H
黟.	黟H
黢.	黢T
黤.	黤H	黤T
黥.	黥H
黬.	黬T
黭.	黭H
黮H	黮J	黮K
黯.	黯H
黰.	黰H
黰J	黰K
黷.	黷T
黸.	黸H	黸J
鼓.	鼓d
鼖.	鼖K
鼘.	鼘H	鼘T
鼙.	鼙T
鼢.	鼢J
鼢H	鼢T
齃.	齃H
齊.	齊H
齋.	齋H
齌.	齌H
齍H	齍T
齎.	齎H
齏.	齏H
齧.	齧T
龟.	龟H
龶.	龶t
𠀋.	𠀋J
𠁝U	𠁝V
𠁟U	𠁟V
𠂏.	𠂏T
𠂠.	𠂠T
# 𠂿 𠦬 not merged, for they're belonging to different ideographs
𠃒T	𠃒U
𠄽U	𠄽V
𠅬.	𠅬U
𠆉.	𠆉T
𠆦.	𠆦T
𠈂K	𠈂U
𠊠H	𠊠T
𠊤.	𠊤T
𠊯.	𠊯U
𠋵.	𠋵T
𠌨.	𠌨U
𠍠.	𠍠U
𠎼.	𠎼T
𠏳.	𠏳U
𠐆.	𠐆T
𠐡.	𠐡T
𠐢.	𠐢T
𠐳.	𠐳T
𠑮T	𠑮V
𠒦U	𠒦V
𠒬U	𠒬V
𠓑U	𠓑V
𠓔U	𠓔V
𠔀.	𠔀T
𠔁.	𠔁T
𠔂.	𠔂T
𠔇.	𠔇U
𠔈.	𠔈T
𠔋.	𠔋T
𠔌.	𠔌T
𠔏.	𠔏V
𠔐.	𠔐T
𠔕.	𠔕T
𠔘.	𠔘T
𠔟.	𠔟T
𠔡T	𠔡U
𠔥T	𠔥U
𠔪T	𠔪U
𠕃.	𠕃T
𠕺.	𠕺T
𠕻.	𠕻t
𠖟.	𠖟T
𠖤U	𠖤V
𠖦.	𠖦T
𠗽.	𠗽T
𠙡T	𠙡U
𠚧.	𠚧T
# 𠛃 𢩬 not merged, for they're belonging to different ideographs
𠛛.	𠛛T
𠛪.	𠛪U
𠛶.	𠛶U
𠛸.	𠛸T
𠛾T	𠛾U
𠜞.	𠜞U
𠟱.	𠟱T
𠠇J	𠠇T
𠠮.	𠠮T
𠡎U	𠡎V
𠣊.	𠣊T
𠣣.	𠣣T
𠤰.	𠤰T
𠥖.	𠥖T
𠦄.	𠦄U
𠦌.	𠦌T
𠧞.	𠧞U
𠧼.	𠧼T
𠨱.	𠨱T
𠪌.	𠪌T
𠪟.	𠪟T
𠬬T	𠬬U
𠬲.	𠬲U
𠭥.	𠭥T
𠯎.	𠯎U
𠯦.	𠯦V
# 𠯴 𠯿H not merged, for they're belonging to different ideographs
𠱌U	𠱌V
𠲳.	𠲳T
𠴕H	𠴕U
𠴮.	𠴮T
𠴻.	𠴻T
𠵓T	𠵓U
𠶪.	𠶪T
𠷃.	𠷃U
𠷇.	𠷇T
𠷍T	𠷍U
𠷔.	𠷔T
𠸊H	𠸊U
𠸱.	𠸱T
𠸶.	𠸶T
𠹉.	𠹉U
𠹭.	𠹭J
𠺂T	𠺂U
𠻘.	𠻘H
𠼕.	𠼕T
𠼣.	𠼣U
𠼰H	𠼰U
𠽶.	𠽶T
𠾌.	𠾌T
𠾦.	𠾦T
𠿒.	𠿒T
𠿖.	𠿖T
𡀒.	𡀒T
𡁎.	𡁎T
𡁕.	𡁕T
𡁤T	𡁤V
𡁭.	𡁭T
𡂧.	𡂧T
𡅭.	𡅭U
# 𡆥 𡆦. 𡆦U not merged, for they're belonging to different ideographs
𡆧.	𡆧T
𡆲.	𡆲T
𡆾.	𡆾U
𡇷.	𡇷T
𡇼.	𡇼T
𡈇.	𡈇T
𡈚.	𡈚T
𡉊.	𡉊T
𡊆.	𡊆T
𡊇.	𡊇T
𡊷.	𡊷T
𡌂H	𡌂U
𡌦.	𡌦T
𡌨.	𡌨U
𡍊.	𡍊U
𡍻.	𡍻T
𡏔T	𡏔U
𡐥.	𡐥T
𡓰.	𡓰T
𡔞T	𡔞U
𡘤T	𡘤V
𡙐.	𡙐T
𡙜.	𡙜T
𡛒.	𡛒T
𡛬T	𡛬U
𡝱H	𡝱U
𡞙.	𡞙T
𡞫H	𡞫T
𡟣.	𡟣T
𡟸H	𡟸U
𡠒.	𡠒U
𡠢.	𡠢T
𡠹.	𡠹H
𡢙.	𡢙T
𡢱.	𡢱T
𡢾H	𡢾T
𡣋.	𡣋T
𡣭.	𡣭T
𡣺H	𡣺U
𡤒H	𡤒T	𡤒U
𡥀.	𡥀T
𡥌U	𡥌V
𡦽.	𡦽T
# 𡧂 𡧊 not merged, for they're belonging to different ideographs
𡧋.	𡧋T
𡨬T	𡨬U
𡨭.	𡨭T
𡩥.	𡩥U
𡩩.	𡩩T
𡪣.	𡪣T
𡫗T	𡫗U
𡫱.	𡫱T
𡫳.	𡫳T
𡬦.	𡬦U
𡬽.	𡬽T
𡭆.	𡭆T
# 𡭕 𤓯 not merged, for they're belonging to different ideographs
𡭤.	𡭤U
𡭩T	𡭩U
𡭯.	𡭯T
𡭱U	𡭱V
𡭻U	𡭻V
𡭽.	𡭽V
𡮅U	𡮅V
𡮐.	𡮐T
𡮓U	𡮓V
𡯂.	𡯂H	𡯂T
𡯅T	𡯅U
𡲌.	𡲌T
𡲝.	𡲝T
𡳆.	𡳆T
𡳇.	𡳇T
𡳬.	𡳬T
𡴄.	𡴄U
𡴋.	𡴋T
𡴐.	𡴐U
𡴕.	𡴕T
𡴚.	𡴚U
𡴜.	𡴜T
𡴝T	𡴝U
𡴧.	𡴧U
𡴪.	𡴪U
𡴫.	𡴫T
𡴬T	𡴬U
𡵀.	𡵀T
𡵳.	𡵳T
𡶊.	𡶊T
𡶍.	𡶍T
𡷁.	𡷁U
𡷆.	𡷆T
𡷢.	𡷢T
𡹳.	𡹳T
𡺅.	𡺅V
𡻪.	𡻪T
𡽐.	𡽐T
𡽟.	𡽟T
𡽦.	𡽦T
𡾅.	𡾅T
𡿌.	𡿌T
𡿖.	𡿖T
𢁅H	𢁅T
𢁣.	𢁣T
𢁥.	𢁥T
𢂠T	𢂠U
𢂩.	𢂩T
𢂪.	𢂪T
𢂸.	𢂸T
𢃏.	𢃏T
𢃓.	𢃓T
𢃧.	𢃧T
𢃪.	𢃪T
𢄔.	𢄔T
𢄪H	𢄪U
𢅚.	𢅚T
# 𢆉 𦍍 not merged, for they're belonging to different ideographs
𢆜.	𢆜T
𢇅.	𢇅U
𢇚.	𢇚T
𢇜.	𢇜T
𢈤.	𢈤T
𢈳.	𢈳T
𢉥.	𢉥T
𢊋T	𢊋U
𢊎.	𢊎T
𢋽.	𢋽T
𢍗.	𢍗T
𢍘.	𢍘T
𢍺.	𢍺U
𢎁.	𢎁T
𢎆.	𢎆U
𢏖.	𢏖T
𢐏.	𢐏T
𢐕.	𢐕T
𢐩.	𢐩T
𢐸.	𢐸T
𢐹.	𢐹T
𢑉.	𢑉T
𢒎U	𢒎V
𢒜.	𢒜T
𢒡.	𢒡T
𢒥.	𢒥T
𢒯.	𢒯T
𢔂.	𢔂T
𢔋.	𢔋T
𢖈.	𢖈T
𢖿.	𢖿U
𢗠T	𢗠V
𢗺.	𢗺T
𢙎.	𢙎T
𢙗T	𢙗U
𢚅.	𢚅T
𢚐.	𢚐T
𢚚T	𢚚U
𢛌.	𢛌T
𢛒.	𢛒T
𢛚.	𢛚T
𢛮.	𢛮T
𢜎T	𢜎U
𢞾T	𢞾U
𢟛U	𢟛V
𢟜T	𢟜U
𢟲T	𢟲U
𢟵.	𢟵T
𢟶.	𢟶T
𢟻.	𢟻T
𢠞T	𢠞U
𢡈.	𢡈T
𢡐.	𢡐U
𢢌.	𢢌T
𢢚.	𢢚T
𢢛T	𢢛U
𢢟.	𢢟T
𢣫T	𢣫U
𢣮T	𢣮U
𢣰T	𢣰U
𢣿.	𢣿T
𢤅.	𢤅T
𢤫.	𢤫T
𢥛.	𢥛T
𢥽.	𢥽T
𢧍T	𢧍U
𢧴T	𢧴U
𢧶.	𢧶T
𢨎T	𢨎U
𢨟.	𢨟T
𢪌.	𢪌T
𢫂T	𢫂U
𢫌T	𢫌V
𢬣U	𢬣V
𢭼U	𢭼V
𢮈.	𢮈T
𢯯.	𢯯T
𢰂.	𢰂T
𢰿.	𢰿U
𢲽.	𢲽T
𢴾.	𢴾T
𢵩U	𢵩V
𢶀.	𢶀T
𢶆.	𢶆T
𢶏.	𢶏T
𢶐.	𢶐T
𢶛.	𢶛T
𢷋.	𢷋T
𢷒.	𢷒T
𢸉.	𢸉T
𢺟.	𢺟T
𢺹U	𢺹V
𢺺.	𢺺V
𢻬.	𢻬T
𢻲.	𢻲T
𢻹.	𢻹U
𢻾.	𢻾T
𢼏.	𢼏T
𢽕.	𢽕U
𢾺.	𢾺T
𢿆.	𢿆T
𢿊.	𢿊T
𣀞.	𣀞T
𣀴T	𣀴U
𣁁T	𣁁U
𣁆T	𣁆U
𣁇T	𣁇U
𣁒.	𣁒T
𣁤T	𣁤U
𣂂.	𣂂U
𣂥T	𣂥U
𣂫.	𣂫T
𣂺.	𣂺T
𣃢.	𣃢T
# 𣃴 𣃷 not merged, for they're belonging to different ideographs
𣃾.	𣃾T
𣄑.	𣄑T
𣄔.	𣄔T
𣅇.	𣅇T
𣅖.	𣅖T
𣆠.	𣆠U
𣋔T	𣋔U
𣋤.	𣋤U
𣋧.	𣋧U
𣌢T	𣌢V
𣌣.	𣌣T
𣌲T	𣌲U
𣍢.	𣍢T
𣍺.	𣍺U
𣎅.	𣎅T
𣎳.	𣎳T
𣏕.	𣏕T
# 𣏣 𣏥 not merged, for they're belonging to different ideographs
𣐆U	𣐆V
𣐧T	𣐧U
𣐳U	𣐳V
𣑼.	𣑼U
𣒊.	𣒊U
𣓜.	𣓜U
𣓰T	𣓰U
𣓵T	𣓵U
𣕑.	𣕑T
𣕙T	𣕙U
𣗂.	𣗂T
𣘁U	𣘁V
𣘢T	𣘢U
𣘭.	𣘭T
𣙁.	𣙁V
𣚛.	𣚛T
𣚼T	𣚼U
𣛉T	𣛉U
𣛼.	𣛼T
𣜄.	𣜄U
𣜥.	𣜥U
𣝦H	𣝦U
𣞞T	𣞞U
𣟇.	𣟇T
𣟍.	𣟍T
𣟐.	𣟐T
𣠜.	𣠜T
𣠨T	𣠨U
𣠸.	𣠸U
𣡌.	𣡌T
𣢅.	𣢅T
𣢉T	𣢉U
𣣕.	𣣕T
𣤊.	𣤊T
𣤞T	𣤞U
𣤩.	𣤩T
𣥊.	𣥊T
𣥱U	𣥱V
𣦅.	𣦅T
𣦆U	𣦆V
𣦎U	𣦎V
𣧨T	𣧨U
𣨵.	𣨵T
𣩍.	𣩍T
𣩰.	𣩰T
𣩳.	𣩳T
𣬨T	𣬨U
𣬲T	𣬲U
𣬼.	𣬼U
𣭥T	𣭥U
𣭭.	𣭭T
𣮖.	𣮖U
𣮙T	𣮙U
𣮝T	𣮝U
𣮤.	𣮤T
𣯋.	𣯋T
𣯓.	𣯓U
𣯝.	𣯝T
𣯥.	𣯥T
𣯮.	𣯮T
𣯰.	𣯰T
𣰏U	𣰏V
𣰓T	𣰓U
𣰔.	𣰔T
𣰞.	𣰞T
𣰪T	𣰪U
𣱅.	𣱅T
𣲦U	𣲦V
𣳁.	𣳁T
𣳪.	𣳪V
𣴞.	𣴞T
𣴸.	𣴸T
𣵺.	𣵺T
𣶈.	𣶈T
𣶟.	𣶟T
𣶼H	𣶼U
𣷗T	𣷗U
𣷙T	𣷙U
𣸚.	𣸚T
𣸜.	𣸜T
𣹊.	𣹊T
# 𣹳. 𣻤T not merged, for they're belonging to different ideographs
𣺒T	𣺒U
𣺚T	𣺚U
𣻆U	𣻆V
𣻊T	𣻊U
𣻐.	𣻐T
𣻤.	𣻤U
𣼫U	𣼫V
𣽓.	𣽓T
𣿓.	𣿓T
𣿖.	𣿖T
𤀶.	𤀶T
𤁁T	𤁁U
𤁐.	𤁐T
𤁙U	𤁙V
𤁴.	𤁴T
𤂽T	𤂽U
𤃙.	𤃙T
𤃬.	𤃬H
𤃯.	𤃯U
𤄕.	𤄕T
𤄦.	𤄦T
𤅊.	𤅊T
𤅽.	𤅽U
𤅾T	𤅾U
𤆐.	𤆐T
𤆺U	𤆺V
𤆻U	𤆻V
𤉰.	𤉰U
𤊬U	𤊬V
𤋓T	𤋓U
𤋥T	𤋥U
𤌏.	𤌏T
𤎅T	𤎅U
𤏆T	𤏆U
𤒿.	𤒿U
𤔹.	𤔹T
𤕃T	𤕃U
𤕖T	𤕖U
𤕮.	𤕮T
𤕰.	𤕰T
𤕴.	𤕴T
𤖌.	𤖌T
𤖚.	𤖚T
𤘝.	𤘝T
𤚂.	𤚂T
𤚳.	𤚳T
𤚾.	𤚾U
𤛄.	𤛄U
𤛊.	𤛊T
𤛏.	𤛏T
𤛹.	𤛹T
𤜣.	𤜣T
𤝂.	𤝂T
𤝞T	𤝞V
𤝶.	𤝶T
𤞹.	𤞹T	𤞹U
𤟜.	𤟜T
𤟝.	𤟝T
𤟽.	𤟽T
𤠙.	𤠙V
𤠹.	𤠹T
𤡑.	𤡑T
𤡝.	𤡝T
𤡡.	𤡡T
𤡣.	𤡣T
𤢓.	𤢓T
𤢔.	𤢔T
𤣨.	𤣨T
𤥘.	𤥘T
𤥼.	𤥼T
𤦈H	𤦈U
𤩁.	𤩁T
𤩦.	𤩦T
𤩩.	𤩩T
𤪄.	𤪄T
𤪳H	𤪳U
𤫗T	𤫗U
𤫣.	𤫣T
𤬎.	𤬎T
𤬛.	𤬛T
𤬝.	𤬝T
𤭽.	𤭽T
𤮔.	𤮔T
𤮧.	𤮧T
𤰆.	𤰆T
𤰞.	𤰞T
# 𤰠 𤰤 not merged, for they're belonging to different ideographs
𤰡.	𤰡T
𤰪.	𤰪T
𤰵.	𤰵T
𤱭.	𤱭U
𤲞H	𤲞U
𤳍T	𤳍U
𤴅.	𤴅T
𤴌.	𤴌T
𤴔.	𤴔h
# 𤴩 𤴭U not merged, for they're belonging to different ideographs
𤵚.	𤵚T
𤵫.	𤵫T
𤷈.	𤷈T
𤷐.	𤷐T
𤷒.	𤷒U
𤸎.	𤸎T
𤹡.	𤹡T
𤹣.	𤹣T
𤺅.	𤺅T
𤺐.	𤺐T
𤺝.	𤺝T
𤺼.	𤺼T
𤻱.	𤻱T
𤼧.	𤼧T
𤼬.	𤼬T
𤽄.	𤽄V
𤽉.	𤽉T
𤽔.	𤽔T
𤽰.	𤽰T
𤾕.	𤾕U
𤾛.	𤾛T
𤾫.	𤾫T
𤿳.	𤿳U
𥀘.	𥀘T
𥀥T	𥀥U
𥀳U	𥀳V
𥁃.	𥁃T
𥁈.	𥁈T
𥂔.	𥂔T
𥂚T	𥂚U
𥃃.	𥃃T
𥃈.	𥃈T
𥃊T	𥃊U
𥃎.	𥃎T
𥃓.	𥃓T
𥃸.	𥃸T
𥄖.	𥄖T
𥄴.	𥄴T
𥄵T	𥄵V
𥄾.	𥄾U
𥅀.	𥅀U
𥅎T	𥅎U
𥅓.	𥅓T
𥅝T	𥅝U
𥇋.	𥇋T
𥇖.	𥇖T
𥈃.	𥈃U
𥈎.	𥈎T
𥈷.	𥈷T
𥉆.	𥉆T
# 𥉎 𥉨 not merged, for they're belonging to different ideographs
𥉾.	𥉾T
𥊷.	𥊷U
𥋠.	𥋠T
𥌭.	𥌭T
𥍢.	𥍢T
𥍸.	𥍸T
𥎇.	𥎇T
𥎗.	𥎗T
𥏽T	𥏽U
# 𥐙. 𥐙T 𥐚 not merged, for they're belonging to different ideographs
𥐞.	𥐞T
𥐫.	𥐫T
𥒅U	𥒅V
𥒧.	𥒧T
𥔉.	𥔉U
𥔠T	𥔠U
𥔮.	𥔮T
𥕑.	𥕑T
𥕕.	𥕕T
𥕰.	𥕰T
𥕹.	𥕹T
𥖼.	𥖼T
𥘅.	𥘅H
𥘖.	𥘖T
𥘾T	𥘾V
𥙊.	𥙊T
𥙤.	𥙤T
𥚋.	𥚋T
𥛁.	𥛁T
𥛜.	𥛜T
𥛣H	𥛣V
𥜅.	𥜅T
𥜔.	𥜔T
𥝕.	𥝕T
𥞀.	𥞀T
𥟍.	𥟍T
𥠶.	𥠶T
𥡧.	𥡧T
𥡪.	𥡪T
𥣞.	𥣞H
𥤾.	𥤾T
𥦶.	𥦶T
𥫏.	𥫏U
𥫖.	𥫖T
𥭚.	𥭚T
𥭣.	𥭣T
𥮨.	𥮨T
𥯆.	𥯆T
𥰽.	𥰽T
𥱵.	𥱵V
𥲉.	𥲉T
𥲚.	𥲚T
𥲜.	𥲜T
𥳈.	𥳈T
𥴧.	𥴧T
𥴭.	𥴭T
𥵬.	𥵬T
𥵳.	𥵳T
𥶌.	𥶌T
𥷘.	𥷘T
𥹟.	𥹟T
𥹢.	𥹢J
𥺘.	𥺘T
𥺡.	𥺡T
𥻉.	𥻉T
𥻋.	𥻋T
𥻠U	𥻠V
𥼞.	𥼞T
𥼠.	𥼠T
𥾛.	𥾛V
𥾻.	𥾻T
𥿺.	𥿺T
𦀇.	𦀇U
𦁃.	𦁃T
𦁏.	𦁏T
𦂇.	𦂇T
𦂛.	𦂛T
𦃄.	𦃄T
𦃒.	𦃒T
𦃳T	𦃳U
𦄂H	𦄂V
𦄕.	𦄕T
𦄜.	𦄜T
𦆝.	𦆝T
𦇙.	𦇙T
𦇨.	𦇨T
𦇷.	𦇷T
𦇽.	𦇽T
𦈢	𦈢.t
𦈢2.	𦈢2t
𦉧.	𦉧T
𦉳T	𦉳U
𦉸.	𦉸T
𦉾.	𦉾T
𦊎.	𦊎T
𦋋.	𦋋T
𦋤.	𦋤T
𦋾.	𦋾T
𦌨T	𦌨U
𦍇T	𦍇U
𦍔.	𦍔T
𦍥.	𦍥T
𦍨.	𦍨T
𦍩.	𦍩K
𦎯.	𦎯T
𦎾H	𦎾U
𦏴.	𦏴T
𦏶.	𦏶T
𦏸.	𦏸H
𦏻.	𦏻T
𦐀.	𦐀T
𦐈.	𦐈T
𦐪.	𦐪T
𦐲.	𦐲T
𦑃U	𦑃V
𦑎.	𦑎T
𦑳T	𦑳U
𦒆.	𦒆T
𦒉H	𦒉U
𦔮.	𦔮U
𦔯.	𦔯T
𦕈T	𦕈V
𦕋T	𦕋U
𦕥T	𦕥U
# 𦘩. 𦘱 not merged, for they're belonging to different ideographs
𦙥U	𦙥V
𦜱.	𦜱U
𦝲.	𦝲T
𦤦.	𦤦H
𦥊.	𦥊T
𦥭.	𦥭T
𦥸.	𦥸T
𦦑.	𦦑T
𦦵.	𦦵T
𦨭T	𦨭V
𦨴H	𦨴V
𦩛U	𦩛V
𦩳U	𦩳V
𦫋.	𦫋T
𦫌T	𦫌U
𦮘T	𦮘U
𦮝H	𦮝U
𦯀H	𦯀T
𦱋T	𦱋U
𦶨T	𦶨U
𦸧T	𦸧U
𦺵T	𦺵U
𦻹T	𦻹U
𦼫K	𦼫T
𧀞U	𧀞V
𧀾T	𧀾U
𧁜T	𧁜U
𧆝.	𧆝T
𧆞.	𧆞T
𧆤.	𧆤T
𧆥.	𧆥T
𧆨.	𧆨T
𧇁.	𧇁T
𧇃.	𧇃T
𧇄.	𧇄T
𧇇.	𧇇T
𧇈.	𧇈T
𧇘.	𧇘T
𧇲.	𧇲T
𧇼.	𧇼T
𧈉.	𧈉T
𧈎.	𧈎T
𧈒.	𧈒T
𧈕.	𧈕T
𧈘.	𧈘T
𧉢.	𧉢T
𧉮.	𧉮T
𧉴.	𧉴U
𧊷T	𧊷U
𧘇.	𧘇d
𧰨.	𧰨d
